emp_no,first_name,last_name,dept_name
422100,Kotesh,Aingworth,Development
205568,Abdelghani,Aingworth,Human Resources
205568,Abdelghani,Aingworth,Finance
109623,Parviz,Aingworth,Human Resources
435606,Kerhong,Aingworth,Research
42541,Ferdinand,Aingworth,Production
435606,Kerhong,Aingworth,Development
210940,Pasqua,Akaboshi,Customer Service
41798,Margareta,Akaboshi,Development
252934,Zhenhua,Akaboshi,Production
287982,Stepehn,Akaboshi,Development
99481,Arnd,Akaboshi,Sales
298177,Quingbo,Akaboshi,Finance
226896,Yurij,Akaboshi,Sales
68769,Gill,Akaboshi,Finance
212346,Arve,Akaboshi,Production
248973,Slavian,Akaboshi,Research
423907,Sanjit,Akaboshi,Sales
243820,Chiranjit,Akaboshi,Development
441429,Ewing,Akaboshi,Marketing
202175,Dzung,Akaboshi,Production
18664,Itzchak,Akaboshi,Sales
251804,Shir,Akaboshi,Production
455335,Hisao,Akaboshi,Production
411330,Gennady,Akaboshi,Quality Management
448131,Aloys,Akaboshi,Marketing
283289,Yechezkel,Akaboshi,Sales
456657,Frederique,Akaboshi,Sales
95248,Tsuneo,Akaboshi,Human Resources
274427,Guther,Akaboshi,Finance
410563,Magy,Akazan,Finance
478058,Collette,Akazan,Human Resources
478058,Collette,Akazan,Finance
270299,Genta,Akazan,Research
231876,Abdelkader,Akazan,Research
252510,Bedir,Akazan,Development
438153,Fan,Akazan,Production
448524,Kwangsub,Akazan,Development
411882,Youjian,Akazan,Customer Service
200196,Xuejia,Akazan,Production
240587,Zorica,Akazan,Sales
33563,Sastry,Akazan,Human Resources
203816,Avishai,Akazan,Production
53154,Chaosheng,Akazan,Development
95474,Guiseppe,Akazan,Marketing
206847,Luise,Akazan,Sales
220413,Jordanka,Akazan,Production
240218,Yonghong,Akazan,Finance
268778,Guadalupe,Akazan,Development
204838,Kannan,Akazan,Production
200196,Xuejia,Akazan,Customer Service
18775,Shay,Akazan,Development
30425,Rimli,Akazan,Sales
79509,Vitaly,Akiyama,Sales
98832,Margo,Akiyama,Marketing
253896,Mayuri,Akiyama,Research
65131,Shakhar,Akiyama,Sales
243435,Moriyoshi,Akiyama,Sales
90582,Tuval,Akiyama,Production
484602,Kenroku,Akiyama,Development
460238,Yucai,Akiyama,Marketing
89448,Vidya,Akiyama,Research
89353,Mostafa,Akiyama,Production
480432,Domenick,Akiyama,Customer Service
78153,Kwan,Akiyama,Development
88015,Dmitry,Akiyama,Development
240217,Ger,Akiyama,Human Resources
258328,Peternela,Akiyama,Marketing
412602,Kasidit,Akiyama,Development
243923,Owen,Akiyama,Development
405663,Utz,Akiyama,Human Resources
232686,Kazuhiko,Akiyama,Sales
292183,Shahar,Akiyama,Customer Service
292183,Shahar,Akiyama,Production
94496,Sungwon,Akiyama,Human Resources
251124,Owen,Akiyama,Customer Service
284762,Chinho,Akiyama,Development
279880,Surveyors,Akiyama,Finance
96417,Bouchung,Akiyama,Human Resources
288730,Junsik,Akiyama,Human Resources
412516,Lenore,Alameldin,Production
94464,Weicheng,Alameldin,Customer Service
464871,Tze,Alameldin,Production
256617,Mohan,Alameldin,Production
251621,Mitchel,Alameldin,Production
20836,Jingling,Alameldin,Sales
109334,Tsutomu,Alameldin,Sales
88924,Qiwen,Alameldin,Development
297218,Teruyuki,Alameldin,Marketing
64151,Rasikan,Alameldin,Development
476396,Gaurav,Alameldin,Production
460348,Utz,Alameldin,Quality Management
403285,Geoff,Alameldin,Sales
403285,Geoff,Alameldin,Marketing
475634,Alagu,Alameldin,Development
40631,Frazer,Alameldin,Marketing
107285,Valeri,Alameldin,Customer Service
213801,Aruna,Alameldin,Sales
75370,Kwee,Alameldin,Sales
98977,Richara,Alameldin,Development
216038,Nahla,Alameldin,Development
427783,Gennady,Alameldin,Finance
45390,Sedat,Alameldin,Sales
427783,Gennady,Alameldin,Sales
211541,Perry,Albarhamtoshy,Development
462231,Anneke,Albarhamtoshy,Customer Service
31533,Trygve,Albarhamtoshy,Sales
223450,Teunis,Albarhamtoshy,Production
496077,Anyuan,Albarhamtoshy,Sales
66961,Lech,Albarhamtoshy,Sales
45552,Aloys,Albarhamtoshy,Sales
59413,Huei,Albarhamtoshy,Sales
400372,Henk,Albarhamtoshy,Research
221878,Phillip,Albarhamtoshy,Production
294223,Pantung,Albarhamtoshy,Human Resources
294223,Pantung,Albarhamtoshy,Finance
78410,Sreenivas,Albarhamtoshy,Development
61920,Ghassan,Albarhamtoshy,Human Resources
225546,Marl,Albarhamtoshy,Development
19621,Radhakrishnan,Albarhamtoshy,Development
45552,Aloys,Albarhamtoshy,Finance
22755,Marla,Albarhamtoshy,Finance
462231,Anneke,Albarhamtoshy,Sales
482135,Aris,Albarhamtoshy,Research
495390,Ottavia,Albarhamtoshy,Production
495390,Ottavia,Albarhamtoshy,Customer Service
420493,Yuriy,Albarhamtoshy,Production
233966,Shimshon,Albarhamtoshy,Sales
420493,Yuriy,Albarhamtoshy,Customer Service
261569,Thodoros,Albarhamtoshy,Sales
244078,Gurbir,Alblas,Production
259541,Jaber,Alblas,Marketing
293050,Sanjai,Alblas,Production
288274,Selwyn,Alblas,Research
288274,Selwyn,Alblas,Development
244078,Gurbir,Alblas,Quality Management
28487,Ziva,Alblas,Customer Service
457846,Krisda,Alblas,Finance
433926,Xiaobin,Alblas,Research
265872,Reuven,Alblas,Development
265872,Reuven,Alblas,Research
298150,Sachio,Alblas,Finance
28487,Ziva,Alblas,Sales
459248,Mingsen,Alblas,Customer Service
433926,Xiaobin,Alblas,Development
206053,Tsuneo,Alblas,Sales
245790,Yongmao,Alblas,Sales
67006,Elvia,Alblas,Customer Service
286771,Make,Alblas,Development
67006,Elvia,Alblas,Production
36355,Aleksandar,Alblas,Development
53418,Hiroyasu,Alencar,Sales
62900,Gio,Alencar,Sales
40511,Radhia,Alencar,Research
105162,Heon,Alencar,Finance
90277,Conor,Alencar,Development
60638,Makato,Alencar,Quality Management
13302,Mack,Alencar,Development
402804,Kish,Alencar,Research
482306,Kiyomitsu,Alencar,Research
227910,Saniya,Alencar,Sales
62900,Gio,Alencar,Finance
36272,Valeri,Alencar,Production
230321,Gunilla,Alencar,Marketing
473947,Van,Alencar,Development
447985,Sedat,Alencar,Production
256099,Kersti,Alencar,Development
454340,Amabile,Alencar,Development
257953,Kwangyoen,Alencar,Sales
495432,Halsur,Aloia,Finance
250260,Baoqiu,Aloia,Finance
416018,Fen,Aloia,Customer Service
233602,Ulf,Aloia,Customer Service
416018,Fen,Aloia,Sales
288075,Nectarios,Aloia,Development
456007,Souichi,Aloia,Sales
81672,Kazuhito,Aloia,Development
76761,Raimond,Aloia,Marketing
64904,Xiaocheng,Aloia,Quality Management
267411,Gio,Aloia,Development
31658,Byong,Aloia,Production
65280,Arun,Aloia,Development
465194,Yechiam,Aloia,Development
15971,Arumugam,Aloia,Development
48375,Jaques,Aloia,Quality Management
210624,Poornachandra,Aloia,Production
287666,Jaber,Aloia,Customer Service
210624,Poornachandra,Aloia,Customer Service
471529,Munir,Aloia,Marketing
471529,Munir,Aloia,Sales
258621,Arne,Aloia,Development
289170,Taizo,Aloia,Development
36874,Genki,Aloia,Sales
81817,Demos,Aloia,Production
221882,Sahrah,Aloia,Sales
14509,Danil,Aloia,Finance
222836,Ishfaq,Aloia,Sales
246997,Jaewon,Aloia,Research
408881,Christophe,Aloia,Production
483434,Georgy,Aloia,Finance
27203,Conal,Aloia,Production
27203,Conal,Aloia,Quality Management
241169,Parke,Aloia,Production
59919,Koichi,Aloia,Human Resources
409694,Chenye,Aloisi,Development
30209,Yannis,Aloisi,Sales
30209,Yannis,Aloisi,Customer Service
277789,Katsuyuki,Aloisi,Development
10157,Nigel,Aloisi,Development
285961,Tristan,Aloisi,Human Resources
228246,Bartek,Aloisi,Marketing
21926,Boguslaw,Aloisi,Production
215616,Sachar,Aloisi,Development
88890,Pranjal,Aloisi,Marketing
250493,Woody,Aloisi,Marketing
228246,Bartek,Aloisi,Sales
286991,Perla,Aloisi,Research
418471,Xiaoheng,Aloisi,Research
274066,Navin,Aloisi,Human Resources
453734,Junsik,Aloisi,Development
484188,Aimee,Aloisi,Research
453491,Theirry,Aloisi,Quality Management
283854,Richara,Aloisi,Customer Service
283854,Richara,Aloisi,Marketing
415731,Uta,Aloisi,Development
294719,Kwok,Aloisi,Development
418471,Xiaoheng,Aloisi,Production
486393,Kristinn,Aloisi,Finance
237134,Nitsan,Aloisi,Research
460355,Jeanna,Aloisi,Finance
276272,Sverrir,Aloisi,Finance
457722,Arco,Alpay,Production
102870,Marsal,Alpay,Sales
275606,Stamatina,Alpay,Production
292770,Zhilian,Alpay,Quality Management
414666,Fai,Alpay,Sales
405888,Leucio,Alpay,Sales
405888,Leucio,Alpay,Marketing
414666,Fai,Alpay,Marketing
404064,Tadanori,Alpay,Finance
415282,Frazer,Alpay,Production
457652,Weiru,Alpay,Human Resources
227578,Randy,Alpay,Development
232031,Zvonko,Alpay,Development
108262,Yannis,Alpay,Production
480994,Berry,Alpay,Customer Service
51250,Leah,Alpay,Finance
224723,Guadalupe,Alpay,Development
431751,Isaac,Alpay,Quality Management
108262,Yannis,Alpay,Development
221262,Chenxi,Alpay,Production
48840,Gay,Alpay,Production
48840,Gay,Alpay,Development
222506,Xudong,Alpay,Development
225965,Dhritiman,Alpay,Development
282121,Barton,Alpin,Human Resources
213327,Shiv,Alpin,Quality Management
269039,Lenore,Alpin,Production
263640,Gina,Alpin,Production
215008,Mechthild,Alpin,Quality Management
485192,Ronghao,Alpin,Production
240711,Kokou,Alpin,Production
236038,Aiichiro,Alpin,Production
52411,Elvis,Alpin,Development
15504,Kasturi,Alpin,Development
240711,Kokou,Alpin,Quality Management
45514,Jessie,Alpin,Sales
464942,Shiv,Alpin,Marketing
464942,Shiv,Alpin,Sales
89598,Nectarios,Alpin,Production
433873,Uwe,Alpin,Development
460613,Odysseas,Alpin,Production
88089,Kwok,Alpin,Quality Management
465547,Bernice,Alpin,Sales
460613,Odysseas,Alpin,Development
299973,Utpal,Alpin,Customer Service
272214,Yurij,Alpin,Development
414099,Sadok,Alpin,Research
418000,Yuichiro,Alpin,Sales
96046,Urs,Alpin,Customer Service
242494,Nevio,Alpin,Human Resources
272093,Boalin,Alpin,Production
414099,Sadok,Alpin,Development
240927,Adit,Alvarado,Development
484694,Salvador,Alvarado,Production
418504,Candida,Alvarado,Marketing
484694,Salvador,Alvarado,Development
252378,Owen,Alvarado,Marketing
252272,Kwan,Alvarado,Production
240927,Adit,Alvarado,Production
444094,Radhakrishnan,Alvarado,Human Resources
209834,Nitsan,Alvarado,Development
423986,Debatosh,Alvarado,Quality Management
423986,Debatosh,Alvarado,Development
432589,Baziley,Alvarado,Development
68570,Kamakshi,Alvarado,Human Resources
78155,Hironoby,Alvarado,Production
284030,Geraldo,Alvarado,Customer Service
88681,Genta,Alvarado,Quality Management
88825,Fun,Alvarado,Development
88825,Fun,Alvarado,Research
50449,Jagoda,Alvarado,Development
487075,Nevio,Alvarado,Development
487075,Nevio,Alvarado,Production
12662,Leucio,Alvarado,Development
96129,Aloys,Alvarado,Development
82823,Geraldo,Alvarado,Quality Management
23323,Siamak,Alvarado,Production
440247,Geoff,Ambroszkiewicz,Development
104163,Yishay,Ambroszkiewicz,Marketing
431818,Chaitali,Ambroszkiewicz,Customer Service
76142,Nikolaos,Ambroszkiewicz,Sales
98128,Kazuhisa,Ambroszkiewicz,Sales
224837,Yahiko,Ambroszkiewicz,Development
499671,Jayesh,Ambroszkiewicz,Sales
287624,Francesca,Ambroszkiewicz,Sales
42047,Sahrah,Ambroszkiewicz,Development
284056,Tze,Ambroszkiewicz,Development
74164,Yakichi,Ambroszkiewicz,Production
107892,Aral,Ambroszkiewicz,Development
27381,Eirik,Ambroszkiewicz,Production
15687,Dekang,Ambroszkiewicz,Finance
32626,Ulf,Ambroszkiewicz,Development
234603,Deniz,Ambroszkiewicz,Production
250816,Kazuhide,Ambroszkiewicz,Research
416924,Vishwani,Ambroszkiewicz,Sales
499429,Gad,Ambroszkiewicz,Production
478296,Kousuke,Ambroszkiewicz,Production
245688,Mrinalini,Ambroszkiewicz,Production
80801,Bluma,Ambroszkiewicz,Sales
271915,Zhenbing,Anandan,Development
403593,Lucian,Anandan,Research
403593,Lucian,Anandan,Development
456258,Kristian,Anandan,Production
412012,Mara,Anandan,Sales
284705,Gila,Anandan,Production
464454,Rosalyn,Anandan,Development
30655,Xuedong,Anandan,Sales
458676,Sanjiv,Anandan,Production
296182,Snehasis,Anandan,Development
475687,Aimee,Anandan,Customer Service
475687,Aimee,Anandan,Production
100569,Sreekrishna,Anandan,Production
431721,Aluzio,Anandan,Development
242920,Tuval,Anandan,Quality Management
289461,Sergi,Anandan,Development
289765,Kensei,Anandan,Production
70090,Oldrich,Anandan,Finance
36303,Amstein,Anandan,Development
291385,Khun,Anandan,Sales
466758,Hugo,Anandan,Finance
23466,Chikara,Anandan,Development
298365,Mabhin,Ananiadou,Production
22682,Kristina,Ananiadou,Development
76408,JiYoung,Ananiadou,Development
297776,Utpal,Ananiadou,Human Resources
263822,Seongbin,Ananiadou,Development
263822,Seongbin,Ananiadou,Research
255534,Kauko,Ananiadou,Human Resources
297776,Utpal,Ananiadou,Finance
44507,Toong,Ananiadou,Production
63343,Mark,Ananiadou,Development
93049,Christoper,Ananiadou,Development
46335,Shuji,Ananiadou,Quality Management
498748,Doowon,Ananiadou,Production
108375,Greger,Ananiadou,Sales
23707,Yoshimitsu,Ananiadou,Development
498748,Doowon,Ananiadou,Research
431078,Adib,Ananiadou,Sales
284156,Nechama,Ananiadou,Development
255168,Ziva,Ananiadou,Sales
415157,Insup,Ananiadou,Sales
217561,Kiyotoshi,Ananiadou,Sales
273663,Bartek,Ananiadou,Marketing
292831,Subhankar,Ananiadou,Development
25222,Weicheng,Ananiadou,Human Resources
493121,Shigeo,Andreotta,Human Resources
292753,Kwangyoen,Andreotta,Development
254117,Leen,Andreotta,Development
83540,Rafail,Andreotta,Production
96318,Berhard,Andreotta,Marketing
418561,Younwoo,Andreotta,Finance
67613,Hyuncheol,Andreotta,Production
282252,Yurij,Andreotta,Production
237576,Alper,Andreotta,Customer Service
227850,Visit,Andreotta,Production
78429,Chinhyun,Andreotta,Production
43073,Urs,Andreotta,Development
426466,Bikash,Andreotta,Research
22536,Sukumar,Andreotta,Quality Management
22536,Sukumar,Andreotta,Development
210330,Bernardo,Andreotta,Development
102704,Slavian,Andreotta,Finance
53464,Odoardo,Andreotta,Sales
43203,Chuanyi,Androutsos,Quality Management
438570,Chikako,Androutsos,Production
457267,Dung,Androutsos,Production
56262,Dharmaraja,Androutsos,Research
422470,Arvin,Androutsos,Sales
497968,Tesuro,Androutsos,Development
462557,Lobel,Androutsos,Production
57780,Martial,Androutsos,Customer Service
91871,Selwyn,Androutsos,Development
228524,Erzsebet,Androutsos,Quality Management
105633,Dmitry,Androutsos,Development
403959,Aleksander,Androutsos,Sales
286590,Aral,Androutsos,Development
412043,Sajjan,Androutsos,Research
407906,Fatemeh,Androutsos,Marketing
417830,Geoff,Androutsos,Sales
464242,Gen,Androutsos,Sales
443557,Ute,Androutsos,Sales
255154,Susanna,Androutsos,Production
249324,Chinya,Androutsos,Production
473701,Richard,Angel,Development
271980,Shigenori,Angel,Sales
292519,Josyula,Angel,Development
278608,Reuven,Angel,Development
451651,Margareta,Angel,Research
259898,Lakshmi,Angel,Development
231520,Junichi,Angel,Production
271068,Nahla,Angel,Human Resources
443118,Saeed,Angel,Customer Service
56368,Doowon,Angel,Production
225307,Shiv,Angel,Sales
72587,Krister,Angel,Finance
98050,Huai,Angel,Customer Service
210984,Toshiki,Angel,Quality Management
37087,Claudi,Angel,Sales
434602,Maja,Angel,Production
200317,Aleksandar,Angel,Quality Management
240309,Roselyn,Angel,Development
445303,Lillian,Angel,Customer Service
60807,Parke,Angel,Quality Management
14675,Teunis,Angel,Human Resources
255057,Ramya,Angel,Development
299091,Kinh,Angel,Development
425251,Nishit,Angel,Research
442133,Bernd,Angel,Sales
235601,Fun,Angel,Quality Management
464695,Lech,Angel,Production
261385,Roddy,Angel,Production
72639,Jiang,Angel,Research
261385,Roddy,Angel,Development
56368,Doowon,Angel,Quality Management
296931,Baruch,Angelopoulos,Production
430477,Subhrajyoti,Angelopoulos,Development
32445,Kristian,Angelopoulos,Development
23880,Hairong,Angelopoulos,Production
17986,Oguz,Angelopoulos,Sales
476315,Sushant,Angelopoulos,Quality Management
424724,Suebskul,Angelopoulos,Development
43222,Lenore,Angelopoulos,Sales
225941,Alenka,Angelopoulos,Marketing
264171,Kristinn,Angelopoulos,Customer Service
496326,Xuejun,Angelopoulos,Sales
437712,Domenick,Angelopoulos,Marketing
486562,Radoslaw,Angelopoulos,Sales
486562,Radoslaw,Angelopoulos,Customer Service
282776,Kenroku,Angelopoulos,Marketing
38551,Sangeeta,Angelopoulos,Quality Management
263112,Zhiwei,Angelopoulos,Production
231083,Gritta,Angelopoulos,Development
230691,Mantis,Angelopoulos,Sales
215123,Sangeeta,Angelopoulos,Sales
230008,Sajjan,Angelopoulos,Sales
251068,Aral,Angelopoulos,Production
464534,Idoia,Angelopoulos,Production
272861,Gonzalo,Angelopoulos,Development
462128,Divine,Angelopoulos,Production
230008,Sajjan,Angelopoulos,Marketing
473113,Toshimitsu,Angelov,Sales
416070,Sanjeeva,Angelov,Human Resources
408613,Mart,Angelov,Development
260634,Beshir,Angelov,Finance
21214,Weiru,Angelov,Development
62449,Jixiang,Angelov,Sales
62449,Jixiang,Angelov,Marketing
207009,Moni,Angelov,Production
265903,Abdelkader,Angelov,Sales
27496,Marke,Angelov,Production
429695,Hyuncheol,Angelov,Research
53868,Jixiang,Angelov,Sales
89480,Palash,Angelov,Customer Service
89480,Palash,Angelov,Sales
246215,Seshu,Anger,Research
80198,Yefim,Anger,Sales
462286,Pintsang,Anger,Marketing
215289,Eckart,Anger,Development
58788,Shmuel,Anger,Development
24429,Murthy,Anger,Sales
222515,Miquel,Anger,Marketing
425220,Xiadong,Anger,Customer Service
77623,Takushi,Anger,Production
425220,Xiadong,Anger,Sales
436652,Marek,Anger,Production
215289,Eckart,Anger,Research
475385,Yunming,Anger,Quality Management
424997,Heekeun,Anger,Development
435995,Jovan,Anger,Development
24153,Lidong,Anger,Sales
498485,Xiaoqiang,Anger,Production
479166,Uno,Anger,Production
459158,Naftali,Anger,Sales
215576,Takushi,Anger,Sales
441086,Jaideep,Anger,Production
82065,Christophe,Anger,Development
482391,Arnould,Anger,Production
254354,Martins,Angiulli,Quality Management
254354,Martins,Angiulli,Development
449693,Teruyuki,Angiulli,Development
454081,Paddy,Angiulli,Sales
411626,Georg,Angiulli,Development
458525,Amstein,Angiulli,Sales
244896,Etsuo,Angiulli,Marketing
475632,Mohamadou,Angiulli,Development
102733,Marie,Angiulli,Customer Service
297980,Danai,Angiulli,Development
66754,Mabhin,Angiulli,Production
59984,Kwangjo,Angiulli,Research
289172,Valeska,Angiulli,Development
212482,Lubomir,Angiulli,Sales
425078,Tommaso,Angiulli,Production
14236,Xuedong,Angiulli,Research
24939,Shuho,Angot,Quality Management
419469,Subhankar,Angot,Marketing
22928,Sanjeeva,Angot,Production
22928,Sanjeeva,Angot,Development
24939,Shuho,Angot,Development
108676,Alassane,Angot,Human Resources
491213,Shaowei,Angot,Sales
215966,Kayoko,Angot,Quality Management
419469,Subhankar,Angot,Sales
287245,Junsik,Angot,Customer Service
210374,Yuriy,Angot,Development
72943,Collette,Angot,Marketing
429801,Nahla,Angot,Marketing
34050,Youjian,Angot,Finance
462028,Rasiah,Angot,Development
84860,Paris,Angot,Quality Management
491213,Shaowei,Angot,Marketing
462038,Gianluca,Angot,Marketing
38037,Georg,Angot,Production
428951,Shigeaki,Angot,Quality Management
95866,Kitty,Angot,Finance
80665,Angel,Angot,Sales
203831,Arunachalam,Angot,Production
461485,Vivian,Angot,Production
412403,Mingdong,Angot,Development
228755,Kazuhira,Angot,Production
100169,Ingmar,Angot,Development
496282,Kotesh,Anguita,Quality Management
448438,Bangqing,Anguita,Production
418480,Ranan,Anguita,Development
81717,Toney,Anguita,Marketing
94734,Bingning,Anguita,Production
451155,Kolar,Anguita,Production
416394,Sreenivas,Anguita,Research
256929,Gadiel,Anguita,Human Resources
496282,Kotesh,Anguita,Production
81717,Toney,Anguita,Sales
410255,Somnath,Anguita,Sales
261651,Angus,Anguita,Production
245567,Khaled,Anguita,Marketing
49437,Ramalingam,Anguita,Human Resources
263573,Visit,Anguita,Development
50455,Munir,Anguita,Marketing
289436,Hidekazu,Anguita,Production
246930,Kitty,Anguita,Development
438876,Manton,Anguita,Development
105401,Babette,Anguita,Development
244292,Khedija,Anick,Customer Service
98394,Berthier,Anick,Development
263993,Reinhold,Anick,Quality Management
106466,Wayne,Anick,Production
11764,Sanjay,Anick,Production
41940,Dmitry,Anick,Production
431032,Moni,Anick,Production
432380,Duro,Anick,Development
91243,Mads,Anick,Finance
484282,Tetsushi,Anick,Human Resources
431032,Moni,Anick,Customer Service
56808,Yuriy,Anick,Human Resources
56808,Yuriy,Anick,Finance
464744,Ranan,Anick,Customer Service
106667,Stabislas,Anick,Production
54950,Yuriy,Anick,Development
44639,Odysseas,Anick,Production
455333,Souichi,Anick,Development
237178,Kiyokazu,Anick,Research
438944,Florian,Anick,Sales
99837,Dipayan,Anick,Production
406587,Xuejia,Anick,Sales
416487,Marsja,Anick,Sales
416487,Marsja,Anick,Finance
294125,Lene,Anick,Customer Service
451799,Aiman,Anick,Quality Management
212618,Haldun,Anido,Marketing
256916,Suebskul,Anido,Development
450384,Raimond,Anido,Development
498865,Rafols,Anido,Research
497465,Halsur,Anido,Marketing
469284,Karlis,Anido,Quality Management
405811,Heeju,Anido,Research
23104,Tadanori,Anido,Development
11415,Sanjiv,Anido,Production
202809,Mariangiola,Anido,Development
482862,Shaw,Anido,Development
280955,Mona,Anido,Sales
14118,Kasturi,Anido,Customer Service
15861,Gio,Anido,Marketing
238643,Fumiko,Anido,Human Resources
86062,Zengping,Anido,Marketing
18542,Tiina,Anido,Development
18454,Eric,Anido,Sales
221634,Tze,Anido,Finance
221634,Tze,Anido,Human Resources
98845,Jessie,Anido,Finance
235267,Troy,Anido,Development
426579,Odinaldo,Anily,Development
27112,Yechezkel,Anily,Development
42821,Xumin,Anily,Development
422573,Jianhao,Anily,Development
223526,Tommaso,Anily,Production
426579,Odinaldo,Anily,Production
287947,Wanqing,Anily,Sales
69050,Nidapan,Anily,Sales
15601,Carrsten,Anily,Sales
261153,Fusako,Anily,Production
261153,Fusako,Anily,Quality Management
87043,Fay,Anily,Development
201931,Chirstian,Anily,Development
436344,Manibrata,Anily,Production
436344,Manibrata,Anily,Customer Service
89381,Paraskevi,Anily,Sales
51165,Kazuyasu,Anily,Sales
93329,Shirish,Anily,Finance
93329,Shirish,Anily,Sales
460851,Uzi,Anily,Customer Service
405426,Khoa,Anily,Customer Service
470116,Xiaocheng,Anily,Production
261598,Mostafa,Anily,Human Resources
416446,Berna,Antonakopoulos,Production
415100,Armond,Antonakopoulos,Production
480259,Giap,Antonakopoulos,Development
213360,Debaprosad,Antonakopoulos,Production
406752,Masaru,Antonakopoulos,Sales
242957,Danae,Antonakopoulos,Production
267301,Irene,Antonakopoulos,Production
225980,Luigi,Antonakopoulos,Development
295515,Geoffrey,Antonakopoulos,Customer Service
51602,Edwin,Antonakopoulos,Marketing
31367,Paloma,Antonakopoulos,Quality Management
430789,Nathan,Antonakopoulos,Production
104266,Kiyokazu,Antonakopoulos,Development
15821,Aleksander,Antonakopoulos,Development
244673,Kokou,Antonakopoulos,Development
79210,Mansur,Antonakopoulos,Development
457801,Abdulla,Antonakopoulos,Sales
425131,Phule,Antonakopoulos,Production
60669,Gaetan,Antonakopoulos,Production
54614,Nobuyoshi,Antonakopoulos,Production
419470,Larisa,Antonakopoulos,Customer Service
285934,Zhilian,Antonakopoulos,Sales
20346,Jeong,Antonakopoulos,Production
84000,Val,Antonakopoulos,Development
